order_id,order_date,region,channel,customer_type,category,product,units_sold,unit_price,unit_cost,discount_pct,returned,net_sales,profit
10043,2026-05-02,,Online,New,Electronics,Wireless Earbuds,6,56.16,28.68,15.0,No,286.42,114.34
10223,2026-04-01,Irbid,Online,Returning,Electronics,Smart Watch,2,94.23,54.99,15.0,No,160.19,50.21
10609,2026-03-07,Aqaba,Wholesale,Returning,Electronics,Power Bank,6,34.72,17.85,20.0,No,166.66,59.56
10443,2026-06-07,Amman,Online,Returning,Electronics,Smart Watch,5,96.6,54.34,15.0,No,410.55,138.85
10398,2026-03-12,Zarqa,Retail,Returning,Accessories,Backpack,3,45.8,22.05,20.0,No,109.92,43.77
10424,2026-04-30,Amman,Wholesale,New,Home,Coffee Maker,7,85.08,47.85,15.0,No,506.23,171.28
10131,2026-03-30,Amman,Retail,New,Home,Air Fryer,1,115.06,75.02,0.0,Yes,13.81,-61.21
10163,2026-01-16,Amman,Online,Returning,Electronics,Wireless Earbuds,5,56.95,29.63,10.0,No,256.28,108.13
10630,2026-04-19,Zarqa,Online,New,Accessories,USB-C Cable,1,12.2,3.15,10.0,No,10.98,7.83
10156,2026-04-05,Amman,Wholesale,New,Electronics,Power Bank,8,35.55,18.89,0.0,No,284.4,133.28
10581,2026-01-05,Zarqa,Retail,New,Accessories,USB-C Cable,3,11.9,3.04,15.0,No,30.35,21.23
10105,2026-05-15,Zarqa,Online,New,Home,Coffee Maker,3,86.82,48.18,25.0,No,195.34,50.8
10607,2026-03-10,Irbid,Retail,Returning,Electronics,Wireless Earbuds,5,56.25,28.91,20.0,No,225.0,80.45
10634,2026-05-17,Irbid,Wholesale,Returning,Electronics,Wireless Earbuds,6,54.99,29.21,10.0,No,296.95,121.69
10233,2026-01-19,Amman,Online,Returning,Accessories,Phone Case,2,17.53,6.33,0.0,No,35.06,22.4
10496,2026-04-09,Amman,Retail,New,Accessories,Backpack,3,44.02,22.46,5.0,No,125.46,58.08
10329,2026-06-07,Amman,Online,Returning,Home,Coffee Maker,2,86.31,50.76,30.0,Yes,14.5,-87.02
10278,2026-03-04,Irbid,Retail,Returning,Home,Coffee Maker,5,86.06,47.43,10.0,No,387.27,150.12
10171,2026-04-30,Irbid,Retail,Returning,Home,Air Fryer,3,117.55,71.32,5.0,No,335.02,121.06
10606,2026-03-02,Zarqa,Wholesale,New,Accessories,Backpack,9,46.39,22.59,0.0,No,417.51,214.2
10501,2026-03-26,Amman,Online,Returning,Electronics,Power Bank,1,35.85,18.41,5.0,Yes,4.09,-14.32
10327,2026-02-19,Amman,Retail,New,Home,Air Fryer,4,111.75,75.98,5.0,No,424.65,120.73
10591,2026-04-27,Amman,Wholesale,New,Electronics,Wireless Earbuds,7,54.29,29.6,10.0,No,342.03,134.83
10069,2026-04-28,Irbid,Wholesale,Returning,Accessories,USB-C Cable,8,12.26,3.05,0.0,No,98.08,73.68
10565,2026-02-27,Irbid,Retail,New,Electronics,Wireless Earbuds,3,56.48,29.49,5.0,No,160.97,72.5
10127,2026-04-17,Amman,Wholesale,Returning,Accessories,Phone Case,5,17.68,6.08,20.0,No,70.72,40.32
10480,2026-01-03,Zarqa,Online,Returning,Home,Blender,2,58.34,35.31,25.0,No,87.51,16.89
10433,2026-05-01,Amman,Retail,,Accessories,Backpack,3,45.0,22.05,5.0,No,128.25,62.1
10274,2026-03-05,Amman,Retail,New,Electronics,Wireless Earbuds,6,54.11,29.15,0.0,No,324.66,149.76
10124,2026-05-19,Zarqa,Online,New,Home,Air Fryer,4,118.12,75.52,15.0,No,401.61,99.53
10017,2026-03-21,Zarqa,Online,New,Accessories,USB-C Cable,6,12.01,2.95,10.0,No,64.85,47.15
10066,2026-03-03,Aqaba,Retail,Returning,Home,Blender,3,60.43,33.61,10.0,No,163.16,62.33
10013,2026-05-23,Amman,Online,Returning,Home,Air Fryer,1,116.21,71.58,10.0,No,104.59,33.01
10557,2026-03-29,Amman,Online,Returning,Electronics,Smart Watch,5,98.0,51.47,10.0,No,441.0,183.65
10509,2026-04-29,Zarqa,Retail,New,Home,Blender,6,61.46,33.62,5.0,No,350.32,148.6
10181,2026-03-04,Amman,Wholesale,New,Electronics,Wireless Earbuds,8,54.03,29.26,0.0,No,432.24,198.16
10195,2026-02-15,Amman,Retail,Returning,Accessories,Backpack,6,44.34,22.81,0.0,No,266.04,129.18
10337,2026-06-29,Amman,Retail,New,Electronics,Smart Watch,2,97.6,53.68,10.0,No,175.68,68.32
10094,2026-01-10,Amman,Retail,New,Accessories,Phone Case,6,18.23,6.15,5.0,No,103.91,67.01
10364,2026-01-16,Amman,Online,New,Electronics,Wireless Earbuds,4,56.39,28.76,15.0,No,191.73,76.69
10157,2026-06-26,Amman,Online,New,Electronics,Smart Watch,4,92.42,53.9,30.0,No,258.78,43.18
10641,2026-05-30,Amman,Online,Returning,Electronics,Wireless Earbuds,1,54.46,27.89,15.0,No,46.29,18.4
10504,2026-05-26,Amman,Online,New,Accessories,Phone Case,3,18.61,5.93,15.0,No,47.46,29.67
10533,2026-06-30,Irbid,Online,New,Home,Blender,5,61.01,34.41,25.0,No,228.79,56.74
10160,2026-01-12,Aqaba,Online,Returning,Electronics,Smart Watch,5,98.64,54.46,20.0,No,394.56,122.26
10324,2026-05-19,Irbid,Wholesale,Returning,Accessories,USB-C Cable,5,11.99,3.07,10.0,No,53.96,38.61
10412,2026-03-23,Zarqa,Retail,New,Electronics,Smart Watch,1,96.13,52.69,25.0,No,72.1,19.41
10397,2026-03-08,Irbid,Retail,Returning,Electronics,Smart Watch,3,94.9,53.33,20.0,Yes,27.33,-132.66
10150,2026-03-02,Irbid,Retail,Returning,Accessories,Backpack,3,44.69,23.11,15.0,No,113.96,44.63
10040,2026-06-18,Amman,Retail,New,Accessories,USB-C Cable,4,12.11,3.08,0.0,No,48.44,36.12
10394,2026-02-22,Amman,Wholesale,Returning,Home,Air Fryer,8,116.0,73.05,10.0,No,835.2,250.8
10470,2026-04-03,Irbid,Retail,New,Electronics,Wireless Earbuds,4,54.82,28.5,0.0,No,219.28,105.28
10395,2026-04-10,Aqaba,Wholesale,Returning,Electronics,Power Bank,6,35.33,18.65,20.0,No,169.58,57.68
10402,2026-02-11,Irbid,Retail,Returning,Electronics,Power Bank,3,35.1,18.33,5.0,No,100.04,45.05
10302,2026-02-10,Zarqa,Retail,Returning,Home,Coffee Maker,1,85.23,49.4,10.0,No,76.71,27.31
10005,2026-03-25,Amman,Online,Returning,Electronics,Smart Watch,6,96.81,52.26,20.0,No,464.69,151.13
10468,2026-05-07,Irbid,Wholesale,New,Accessories,USB-C Cable,8,12.08,3.06,0.0,No,96.64,72.16
10377,2026-02-22,Amman,Online,Returning,Accessories,Phone Case,5,18.22,6.29,20.0,No,72.88,41.43
10174,2026-02-01,Amman,Online,Returning,Accessories,Phone Case,5,18.07,6.26,0.0,No,90.35,59.05
10529,2026-05-01,Irbid,Wholesale,New,Home,Blender,10,61.08,35.81,0.0,No,610.8,252.7
10579,2026-03-04,Irbid,Wholesale,Returning,Accessories,Phone Case,6,18.5,6.1,10.0,No,99.9,63.3
10259,2026-02-09,Irbid,Online,New,Home,Air Fryer,6,113.16,72.24,15.0,No,577.12,143.68
10552,2026-05-13,Amman,Retail,New,Home,Air Fryer,2,118.68,72.12,10.0,No,213.62,69.38
10625,2026-02-25,Zarqa,Wholesale,New,Electronics,Wireless Earbuds,5,55.63,27.67,15.0,No,236.43,98.08
10078,2026-03-31,Amman,Retail,New,Home,Air Fryer,3,117.6,73.68,25.0,No,264.6,43.56
10534,2026-02-12,Irbid,Wholesale,Returning,Home,Air Fryer,8,112.63,72.27,5.0,No,855.99,277.83
10056,2026-02-27,Zarqa,Retail,Returning,Home,Coffee Maker,4,87.14,49.15,5.0,No,331.13,134.53
10357,2026-02-24,Zarqa,Retail,Returning,Electronics,Smart Watch,6,92.16,53.45,0.0,No,552.96,232.26
10440,2026-02-16,Amman,Online,Returning,Home,Coffee Maker,3,88.12,47.12,0.0,No,264.36,123.0
10461,2026-03-18,Aqaba,Retail,New,Accessories,Phone Case,3,18.45,6.02,0.0,No,55.35,37.29
10572,2026-02-25,,Wholesale,New,Home,Coffee Maker,9,83.88,47.62,15.0,No,641.68,213.1
10120,2026-02-20,Aqaba,Online,Returning,Accessories,Backpack,4,45.57,22.01,25.0,No,136.71,48.67
10427,2026-02-12,Aqaba,Online,New,Electronics,Smart Watch,2,97.4,53.09,0.0,No,194.8,88.62
10348,2026-03-21,Amman,Online,Returning,Electronics,Wireless Earbuds,3,57.06,29.27,0.0,No,171.18,83.37
10129,2026-06-30,Amman,Online,Returning,Electronics,Smart Watch,1,97.39,54.42,20.0,No,77.91,23.49
10014,2026-03-24,Irbid,Retail,Returning,Electronics,Power Bank,4,35.54,17.76,10.0,No,127.94,56.9
10520,2026-06-08,Irbid,Online,Returning,Home,Coffee Maker,1,87.51,50.81,25.0,No,65.63,14.82
10458,2026-05-20,Zarqa,Online,New,Home,Coffee Maker,4,87.34,48.74,25.0,No,262.02,67.06
10090,2026-02-23,Amman,Online,New,Electronics,Smart Watch,6,92.28,51.65,5.0,No,526.0,216.1
10245,2026-06-04,Amman,Online,New,Electronics,Wireless Earbuds,6,56.79,28.39,25.0,No,255.56,85.22
10632,2026-03-07,Amman,Online,Returning,Electronics,Wireless Earbuds,1,55.28,29.37,0.0,No,55.28,25.91
10111,2026-01-01,Zarqa,Online,New,Electronics,Power Bank,4,36.37,18.82,0.0,No,145.48,70.2
10291,2026-05-12,Zarqa,Wholesale,New,Electronics,Wireless Earbuds,8,56.53,28.66,15.0,No,384.4,155.12
10479,2026-03-06,Amman,Wholesale,Returning,Home,Air Fryer,5,112.78,71.82,5.0,No,535.7,176.6
10610,2026-05-22,Amman,Retail,Returning,Home,Air Fryer,5,117.36,71.81,5.0,No,557.46,198.41
10313,2026-04-06,Zarqa,Retail,Returning,Accessories,Backpack,4,43.88,23.22,5.0,No,166.74,73.86
10294,2026-06-06,Amman,Wholesale,New,Electronics,Smart Watch,6,98.47,52.67,25.0,No,443.11,127.09
10524,2026-03-19,Zarqa,Online,New,Electronics,Power Bank,4,35.3,18.28,0.0,No,141.2,68.08
10097,2026-05-04,Irbid,Wholesale,New,Electronics,Smart Watch,6,97.99,52.54,15.0,No,499.75,184.51
10217,2026-04-10,Aqaba,Retail,New,Electronics,Smart Watch,6,96.97,53.45,15.0,No,494.55,173.85
10277,2026-04-17,Amman,Online,Returning,Home,Blender,3,59.9,34.91,15.0,No,152.74,48.01
10200,2026-04-15,Amman,Online,New,Electronics,Smart Watch,1,98.73,51.27,5.0,No,93.79,42.52
10147,2026-03-01,Zarqa,Online,New,Electronics,Wireless Earbuds,3,53.99,29.06,0.0,No,161.97,74.79
10482,2026-04-08,Irbid,Online,Returning,Electronics,Power Bank,1,34.78,17.86,10.0,No,31.3,13.44
10488,2026-01-12,Amman,Retail,Returning,Electronics,Power Bank,5,35.7,19.08,10.0,No,160.65,65.25
10244,2026-01-18,Amman,Retail,Returning,Accessories,Phone Case,4,17.58,6.01,20.0,No,56.26,32.22
10600,2026-06-21,Amman,Retail,Returning,Electronics,Smart Watch,6,94.36,52.83,10.0,No,509.54,192.56
10477,2026-06-01,Amman,Online,New,Electronics,Wireless Earbuds,5,56.22,29.12,5.0,No,267.04,121.45
10307,2026-03-12,Amman,Online,Returning,Accessories,Phone Case,6,17.77,5.95,5.0,No,101.29,65.59
10562,2026-04-11,Zarqa,Retail,Returning,Accessories,Phone Case,4,18.39,5.99,5.0,No,69.88,45.92
10447,2026-05-08,Zarqa,Online,New,Electronics,Wireless Earbuds,2,53.63,27.86,15.0,No,91.17,35.45
10472,2026-02-15,Amman,Wholesale,New,Accessories,Backpack,5,44.53,23.07,10.0,No,200.39,85.04
10114,2026-03-13,Amman,Online,Returning,Home,Air Fryer,3,114.12,74.74,20.0,No,273.89,49.67
10453,2026-03-27,Aqaba,Online,New,Accessories,USB-C Cable,6,11.65,2.96,5.0,No,66.41,48.65
10058,2026-06-10,Amman,Wholesale,Returning,Electronics,Wireless Earbuds,3,53.56,28.07,20.0,No,128.54,44.33
10110,2026-03-20,Aqaba,Online,,Accessories,USB-C Cable,2,11.67,2.97,5.0,No,22.17,16.23
10569,2026-01-31,Irbid,Online,New,Home,Coffee Maker,4,86.77,47.8,5.0,No,329.73,138.53
10143,2026-01-21,Irbid,Retail,Returning,Home,Blender,1,59.56,35.9,10.0,No,53.6,17.7
10442,2026-06-26,Amman,Online,Returning,Home,Air Fryer,4,116.54,72.35,20.0,No,372.93,83.53
10028,2026-04-25,Amman,Online,Returning,Accessories,Phone Case,2,18.22,6.3,10.0,No,32.8,20.2
10148,2026-06-06,Zarqa,Retail,New,Electronics,Smart Watch,4,96.12,53.74,20.0,Yes,36.91,-178.05
10406,2026-02-25,Amman,Online,Returning,Home,Blender,2,58.51,35.4,15.0,No,99.47,28.67
10621,2026-01-26,Amman,Retail,New,Accessories,Phone Case,3,18.65,5.98,0.0,No,55.95,38.01
10235,2026-05-12,Amman,Online,Returning,Accessories,Phone Case,6,17.69,6.02,20.0,Yes,10.19,-25.93
10619,2026-05-01,Amman,Retail,Returning,Home,Air Fryer,6,115.82,71.59,25.0,No,521.19,91.65
10036,2026-01-30,Amman,Online,New,Home,Blender,5,61.08,34.13,5.0,No,290.13,119.48
10167,2026-05-27,Irbid,Online,Returning,Electronics,Power Bank,5,35.22,18.37,5.0,No,167.3,75.44
10361,2026-04-24,Amman,Retail,New,Accessories,USB-C Cable,1,12.25,3.15,0.0,No,12.25,9.1
10432,2026-01-14,Amman,Online,New,Electronics,Power Bank,3,36.24,18.79,15.0,No,92.41,36.04
10024,2026-03-20,Amman,Online,New,Electronics,Smart Watch,1,95.52,53.85,0.0,No,95.52,41.67
10543,2026-03-22,Zarqa,Online,Returning,Accessories,USB-C Cable,6,12.45,3.15,10.0,No,67.23,48.33
10363,2026-04-15,Amman,Wholesale,Returning,Electronics,Wireless Earbuds,7,55.85,29.52,20.0,No,312.76,106.12
10197,2026-04-08,Irbid,Retail,Returning,Electronics,Power Bank,2,35.86,17.99,10.0,No,64.55,28.57
10280,2026-04-18,Zarqa,Online,Returning,Accessories,Phone Case,6,17.92,5.9,20.0,No,86.02,50.62
10015,2026-05-23,Zarqa,Online,New,Electronics,Wireless Earbuds,5,56.91,28.74,15.0,No,241.87,98.17
10407,2026-04-24,Irbid,Wholesale,Returning,Home,Blender,9,61.47,34.12,10.0,No,497.91,190.83
10400,2026-04-06,Irbid,Online,New,Home,Air Fryer,5,112.79,75.38,15.0,No,479.36,102.46
10450,2026-06-29,Irbid,Online,New,Home,Blender,1,60.01,33.71,15.0,No,51.01,17.3
10503,2026-04-22,Amman,Online,New,Accessories,USB-C Cable,2,11.95,3.08,30.0,No,16.73,10.57
10510,2026-05-19,Zarqa,Wholesale,Returning,Home,Air Fryer,7,114.43,73.32,5.0,No,760.96,247.72
10637,2026-04-20,Irbid,Online,Returning,Electronics,Wireless Earbuds,3,56.57,28.8,10.0,No,152.74,66.34
10339,2026-01-19,Zarqa,Online,Returning,Home,Coffee Maker,5,84.29,49.15,20.0,No,337.16,91.41
10549,2026-03-14,Zarqa,Online,Returning,Home,Coffee Maker,5,87.37,47.32,5.0,Yes,49.8,-186.8
10038,2026-05-19,Amman,Retail,New,Home,Coffee Maker,4,83.24,49.4,20.0,No,266.37,68.77
10044,2026-03-07,Amman,Online,Returning,Accessories,Phone Case,1,17.61,6.29,25.0,No,13.21,6.92
10261,2026-01-08,Aqaba,Retail,Returning,Electronics,Power Bank,3,34.75,18.39,10.0,No,93.83,38.66
10527,2026-01-12,Amman,Online,New,Accessories,Backpack,1,43.77,22.04,10.0,No,39.39,17.35
10475,2026-04-21,Amman,Retail,Returning,Home,Air Fryer,6,112.39,71.33,20.0,Yes,64.74,-363.24
10224,2026-06-03,Amman,Online,New,Accessories,Backpack,3,44.33,23.07,30.0,No,93.09,23.88
10507,2026-01-09,Aqaba,Online,New,Home,Coffee Maker,1,88.35,47.94,15.0,No,75.1,27.16
10267,2026-05-14,Zarqa,Online,Returning,Electronics,Power Bank,6,34.32,18.84,20.0,Yes,19.77,-93.27
10418,2026-05-24,Irbid,Online,Returning,Accessories,Backpack,3,44.75,23.24,5.0,No,127.54,57.82
10426,2026-02-15,Zarqa,Online,Returning,Home,Coffee Maker,3,84.01,48.11,5.0,No,239.43,95.1
10383,2026-01-01,Amman,Wholesale,New,Accessories,USB-C Cable,7,11.65,3.16,10.0,No,73.39,51.27
10570,2026-06-05,Zarqa,Retail,Returning,Home,Air Fryer,4,118.63,74.19,20.0,No,379.62,82.86
10103,2026-04-05,Zarqa,Retail,New,Electronics,Power Bank,2,35.82,18.9,5.0,No,68.06,30.26
10539,2026-03-08,Amman,Online,Returning,Electronics,Power Bank,4,34.22,17.92,20.0,No,109.5,37.82
10347,2026-02-05,Amman,Online,Returning,Electronics,Smart Watch,5,98.02,52.52,5.0,No,465.59,202.99
10021,2026-02-16,Irbid,Retail,Returning,Electronics,Power Bank,6,34.72,18.75,10.0,No,187.49,74.99
10360,2026-04-30,Irbid,Wholesale,Returning,Accessories,Backpack,5,44.8,21.57,20.0,No,179.2,71.35
10544,2026-05-09,Amman,Retail,Returning,Accessories,Backpack,5,46.66,22.12,5.0,No,221.63,111.03
10297,2026-03-05,Aqaba,Online,Returning,Accessories,Phone Case,6,18.17,6.04,10.0,No,98.12,61.88
10053,2026-06-27,Amman,Wholesale,New,Home,Blender,8,62.15,33.72,15.0,No,422.62,152.86
10179,2026-03-31,Amman,Online,Returning,Electronics,Wireless Earbuds,6,56.71,29.43,25.0,No,255.19,78.62
10092,2026-01-11,Zarqa,Wholesale,New,Electronics,Smart Watch,8,96.04,51.49,25.0,No,576.24,164.32
10117,2026-05-10,Irbid,Online,Returning,Home,Blender,1,59.96,35.08,20.0,No,47.97,12.89
10379,2026-02-19,Zarqa,Wholesale,New,Accessories,USB-C Cable,6,11.77,2.96,20.0,No,56.5,38.74
10620,2026-02-01,Amman,Online,Returning,Home,Coffee Maker,1,86.85,47.25,0.0,No,86.85,39.6
10265,2026-04-16,Irbid,Wholesale,New,Home,Coffee Maker,8,82.86,49.84,0.0,No,662.88,264.16
10439,2026-03-21,Amman,Wholesale,New,Electronics,Power Bank,6,35.09,18.17,15.0,No,178.96,69.94
10499,2026-01-28,Zarqa,Retail,New,Home,Air Fryer,3,117.64,71.46,0.0,No,352.92,138.54
10596,2026-05-07,Amman,Online,New,Accessories,Phone Case,1,18.22,6.08,25.0,No,13.66,7.58
10173,2026-03-01,Irbid,Retail,Returning,Home,Air Fryer,6,115.4,71.41,5.0,No,657.78,229.32
10365,2026-03-05,Irbid,Online,New,Accessories,Phone Case,2,17.81,6.27,5.0,No,33.84,21.3
10636,2026-03-16,Irbid,Wholesale,Returning,Electronics,Wireless Earbuds,7,55.65,28.4,0.0,No,389.55,190.75
10495,2026-04-04,Zarqa,Retail,New,Electronics,Power Bank,5,36.35,18.71,15.0,No,154.49,60.94
10616,2026-01-27,Aqaba,Retail,Returning,Electronics,Power Bank,5,35.42,18.15,20.0,No,141.68,50.93
10604,2026-05-19,Amman,Retail,Returning,Electronics,Power Bank,3,34.31,18.51,0.0,No,102.93,47.4
10462,2026-04-17,Aqaba,Online,New,Home,Blender,4,58.32,34.43,15.0,No,198.29,60.57
10393,2026-01-15,Amman,Retail,New,Accessories,Phone Case,3,18.46,6.18,15.0,No,47.07,28.53
10070,2026-06-24,Aqaba,Wholesale,New,Home,Coffee Maker,9,84.51,47.52,15.0,No,646.5,218.82
10216,2026-01-12,Amman,Retail,Returning,Accessories,Backpack,3,46.18,23.13,0.0,Yes,16.62,-52.77
10438,2026-06-03,Zarqa,Online,Returning,Home,Blender,1,60.17,33.4,20.0,No,48.14,14.74
10381,2026-01-05,Zarqa,Online,Returning,Electronics,Power Bank,6,35.58,18.1,15.0,No,181.46,72.86
10083,2026-01-07,Amman,Online,Returning,Accessories,Phone Case,2,17.6,6.06,0.0,No,35.2,23.08
10089,2026-04-23,Aqaba,Online,Returning,Accessories,USB-C Cable,6,11.91,3.13,15.0,No,60.74,41.96
10210,2026-01-28,Aqaba,Retail,Returning,Electronics,Power Bank,3,34.5,18.05,25.0,No,77.62,23.47
10187,2026-01-24,Amman,Online,New,Electronics,Smart Watch,2,97.49,52.07,20.0,No,155.98,51.84
10071,2026-04-02,Zarqa,Wholesale,Returning,Accessories,Backpack,7,46.15,21.71,10.0,No,290.75,138.78
10293,2026-01-05,Amman,Online,New,Electronics,Smart Watch,3,97.25,54.68,10.0,No,262.57,98.53
10513,2026-02-11,Amman,Online,Returning,Electronics,Power Bank,6,34.96,18.75,0.0,No,209.76,97.26
10047,2026-01-08,Aqaba,Retail,Returning,Electronics,Wireless Earbuds,4,53.46,27.98,20.0,No,171.07,59.15
10262,2026-02-22,Irbid,Wholesale,New,Home,Coffee Maker,6,84.55,48.14,0.0,No,507.3,218.46
10367,2026-02-05,Zarqa,Online,New,Electronics,Wireless Earbuds,1,54.45,28.24,25.0,No,40.84,12.6
10414,2026-04-07,Amman,Retail,New,Electronics,Power Bank,3,36.05,18.07,5.0,No,102.74,48.53
10225,2026-02-06,Amman,Retail,Returning,Accessories,Phone Case,1,18.7,5.95,15.0,No,15.89,9.95
10255,2026-03-08,Amman,Online,Returning,Accessories,USB-C Cable,5,12.13,3.17,5.0,No,57.62,41.77
10422,2026-05-18,Irbid,Retail,Returning,Home,Coffee Maker,3,85.51,50.31,15.0,No,218.05,67.12
10169,2026-04-21,Aqaba,Online,Returning,Electronics,Wireless Earbuds,2,55.85,29.19,10.0,No,100.53,42.15
10416,2026-01-29,Irbid,Retail,New,Electronics,Power Bank,3,34.27,18.19,5.0,No,97.67,43.1
10376,2026-01-22,Aqaba,Retail,Returning,Accessories,USB-C Cable,3,12.26,2.96,0.0,No,36.78,27.9
10007,2026-05-22,Irbid,Retail,Returning,Home,Coffee Maker,4,83.13,49.61,0.0,No,332.52,134.08
10026,2026-06-26,Zarqa,Retail,Returning,Electronics,Power Bank,4,34.01,18.44,20.0,No,108.83,35.07
10099,2026-01-19,Amman,Retail,New,Electronics,Smart Watch,6,96.93,54.65,5.0,No,552.5,224.6
10133,2026-06-05,Amman,Retail,New,Electronics,Power Bank,5,35.79,18.31,10.0,No,161.06,69.51
10067,2026-06-30,Zarqa,Online,New,Accessories,USB-C Cable,2,12.02,3.01,10.0,No,21.64,15.62
10577,2026-06-28,Irbid,Online,Returning,Home,Blender,3,59.94,35.45,10.0,No,161.84,55.49
10205,2026-04-12,Amman,Online,New,Accessories,Backpack,3,45.99,21.98,10.0,No,124.17,58.23
10030,2026-06-02,Amman,Online,Returning,Accessories,Phone Case,3,17.64,6.32,25.0,No,39.69,20.73
10023,2026-06-19,Amman,Retail,Returning,Electronics,Wireless Earbuds,2,56.34,29.62,5.0,No,107.05,47.81
10321,2026-02-14,Irbid,Retail,New,Electronics,Smart Watch,6,97.65,53.8,10.0,No,527.31,204.51
10618,2026-05-31,Irbid,Retail,Returning,Electronics,Power Bank,6,35.98,18.15,5.0,No,205.09,96.19
10583,2026-03-01,Irbid,Retail,New,Home,Air Fryer,2,118.33,74.14,5.0,No,224.83,76.55
10059,2026-01-14,Amman,Online,Returning,Accessories,USB-C Cable,1,12.36,3.03,20.0,No,9.89,6.86
10109,2026-03-01,Zarqa,Retail,Returning,Home,Air Fryer,5,112.56,76.04,0.0,No,562.8,182.6
10372,2026-04-11,Zarqa,Retail,New,Accessories,Phone Case,6,17.5,6.01,15.0,No,89.25,53.19
10214,2026-04-02,Amman,Online,New,Home,Air Fryer,6,117.66,73.75,15.0,Yes,72.01,-370.49
10318,2026-03-05,Amman,Retail,New,Electronics,Power Bank,2,35.74,17.9,5.0,No,67.91,32.11
10220,2026-05-21,Zarqa,Online,New,Accessories,Phone Case,2,17.68,6.28,15.0,No,30.06,17.5
10519,2026-02-08,Zarqa,Retail,New,Electronics,Wireless Earbuds,1,54.75,29.34,0.0,No,54.75,25.41
10374,2026-05-12,Zarqa,Retail,Returning,Home,Coffee Maker,3,85.3,47.14,10.0,No,230.31,88.89
10153,2026-03-09,Aqaba,Retail,Returning,Accessories,USB-C Cable,3,11.74,3.13,10.0,No,31.7,22.31
10405,2026-02-28,Irbid,Retail,Returning,Accessories,Phone Case,2,17.64,6.03,15.0,No,29.99,17.93
10041,2026-04-22,Zarqa,Retail,Returning,Home,Air Fryer,3,119.05,71.25,10.0,No,321.44,107.69
10116,2026-04-16,Amman,Wholesale,Returning,Electronics,Wireless Earbuds,7,55.89,28.12,10.0,No,352.11,155.27
10165,2026-05-25,Irbid,Retail,Returning,Electronics,Smart Watch,4,92.75,51.9,5.0,No,352.45,144.85
10629,2026-06-01,Amman,Wholesale,Returning,Electronics,Wireless Earbuds,7,54.47,29.62,10.0,No,343.16,135.82
10370,2026-03-30,Zarqa,Online,New,Electronics,Smart Watch,5,95.32,52.37,0.0,No,476.6,214.75
10128,2026-02-14,Irbid,Retail,Returning,Home,Air Fryer,1,112.32,74.75,10.0,No,101.09,26.34
10276,2026-06-09,Amman,Retail,Returning,Home,Coffee Maker,1,85.05,49.94,15.0,No,72.29,22.35
10548,2026-03-23,Zarqa,Retail,New,Electronics,Power Bank,2,34.96,18.77,0.0,No,69.92,32.38
10352,2026-06-19,Amman,Wholesale,Returning,Accessories,USB-C Cable,6,11.92,3.1,15.0,No,60.79,42.19
10046,2026-02-27,Amman,Wholesale,Returning,Home,Blender,6,61.89,34.09,25.0,No,278.5,73.96
10537,2026-05-19,Irbid,Online,Returning,Home,Blender,5,59.64,33.96,15.0,No,253.47,83.67
